2019-04-11 16:00:14,347 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 0620, 	 data FF00
2019-04-13 16:11:32,374 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,375 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,376 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,376 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,380 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,380 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,381 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,382 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,382 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,386 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,386 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,387 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,388 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,388 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,392 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,392 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,393 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,394 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,394 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,398 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,398 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,399 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,400 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,400 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,404 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,405 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,405 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,406 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,406 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,410 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,411 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,411 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,412 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,413 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,417 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,417 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,418 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,418 - root - ERROR - Could not align all transceivers to comma: [False, False, False, False, False, True, False, False, False]
2019-04-13 16:11:55,241 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:57,240 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:58,333 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:59,488 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:12:05,649 - root - ERROR - Could not lock to all sensor clocks: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]
2019-04-13 16:12:05,706 - root - ERROR - Could not align all transceivers to comma: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]
2019-04-13 16:13:47,998 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:49,490 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,458 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,460 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,463 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:13:57,464 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:13:57,465 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:13:57,465 - root - ERROR - Could not lock to all sensor clocks: [True, True, False, True, True, False, True, True, False]
2019-04-13 16:13:57,467 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,467 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,468 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,469 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,469 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,473 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,473 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,474 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,475 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,475 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,479 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,479 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,480 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,481 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,481 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,485 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,485 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,486 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,487 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,487 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,491 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,491 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,492 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,492 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,493 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,497 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,497 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,497 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,498 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,499 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,503 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,503 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,503 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,504 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,505 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,509 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,509 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,509 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,510 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,511 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,515 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,515 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,515 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:13:57,516 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:13:57,517 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,521 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:13:57,521 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
